### PART LIST DETAILS

**Description** | **Part Number** | **Price**  
| Hardware Bag Hose Adapter Kit                     | A55254 |       |
| Hose Assembly                                     | A55255 |       |
| Replacement Spray Holder Chrome                   | A55256 |       |
| Replacement Spray Holder Almond                   | A55256AL|       |
| Replacement Spray Holder Black                    | A55256BK|       |
| Replacement Spray Holder Nickel                   | A55256NK|       |
| Replacement Spray Holder White                    | A55256WH|       |
| Modified Washer Vandal Resistant                  | A55260 |       |
| Orifice and Orifice Adapter Plate                 | A55265 |       |
| LKA2479 Waterway Assembly Bar                     | A55269 |       |
| Supply Hose 36in Long                             | A55279 |       |
| Spout Assembly Bar Faucet                         | A55283 |       |
| Hardware Bag Bar Faucet                           | A55284 |       |
| Side Spray Hose Assembly Black Female              | A55288BK|       |
| Side Spray Hose Assembly Chrome Female             | A55288CR|       |
| Side Spray Hose Assembly Black Male                | A55290BK|       |
| Side Spray Hose Assembly Chrome Male               | A55290CR|       |
| Side Spray Hose Assembly White Male                | A55290WH|       |
| Side Spray Metal Chrome                            | A55306 |       |
| Metal Side Spray Antique Copper                   | A55306AC|       |
| Metal Side Spray Mirrored Chrome                  | A55306MC|       |
| Replacement Handle Assembly Victoria               | A55308 |       |
| Replacement Handle Assembly Victoria (Antique)    | A55308AC|       |
| Replacement Handle Assembly Mirrored               | A55308MC|       |
| Replacement Spout Assembly without Spray Victoria  | A55309AC|       |
| Replacement Spout Assembly without Spray Mirrored  | A55309MC|       |
| Replacement Spout Assembly with Spray Victoria     | A55310 |       |
| Replacement Spout Assembly with Spray Victoria (Antique) | A55310AC|       |
| Handle Assembly Allure Lav Chrome                  | A55318 |       |
| Handle Assembly Allure Lav Chrome (Alternate)     | A55319 |       |
| Carton; Bubbler                                   | A55325 |       |
| Hot/Cold Plug Button                               | A55329 |       |
| Allure Spin Instruction Sheet                     | A55335 |       |
| Victoria Lav Waterway Antique                      | A55338AC|       |
| Replacement Handle Assembly Chrome                 | A55338CR|       |
| Replacement Handle Assembly Mirrored               | A55338MC|       |
| Replacement Spout Assembly Antique Copper          | A55339AC|       |
| Allure Master Carton                              | A55349 |       |
| Allure Carton                                     | A55352 |       |
| Sprayhead (Black)                                 | A55355BK|       |
| Sprayhead (Chrome)                                | A55355CR|       |
| Sprayhead (Nickel)                                | A55355NK|       |
| Sprayhead (White)                                | A55355WH|       |
| Handle (Chrome)                                   | A55356CR|       |
| Handle (Nickel)                                   | A55356NK|       |
| Mounting Hardware                                 | A55357 |       |
| Handle (Black)                                    | A55360BK|       |
| Handle (Chrome)                                   | A55360CR|       |
| Handle (Nickel)                                   | A55360NK|       |
| Handle (White)                                    | A55360WH|       |
| Spout Assembly (Black)                            | A55361BK|       |
| Spout Assembly (Chrome)                           | A55361CR|       |
| Spout Assembly (Nickel)                           | A55361NK|       |
| Spout Assembly (White)                            | A55361WH|       |
| Spout Assembly (Black)                            | A55362BK|       |
| Spout Assembly (Chrome)                           | A55362CR|       |
| Spout Assembly (Nickel)                           | A55362NK|       |
| Spout Assembly (White)                            | A55362WH|       |
| Hardware; Mounting                               | A55363 |       |
| Extension; Push Button                            | A55370 |       |
| Handle - Hot/Cold Set Elkay                        | A55383 |       |

### Part List Overview

| **Part Description**                     | **Part Number** | **Price** |
|------------------------------------------|------------------|-----------|
| Set of Handles                           | A55384           |           |
| Handle-A0213 Piece Lever                | A55385           |           |
| Set of Handles A214                      | A55387           |           |
| Set of Handles A215                      | A55388           |           |
| Large Escutcheon Nut                     | A55390           |           |
| Small Escutcheon Nut                     | A55391           |           |
| Large Nut for 8" Arc Tube Spout         | A55392           |           |
| Large Nut for 10" Arc Tube Spout        | A55394           |           |
| Large Nut for 3.5" Goose Neck Spout     | A55396           |           |
| Small Nut for 12" Arc Tube Spout        | A55399           |           |
| Large Nut for 5.3" Goose Neck Spout     | A55400           |           |
| Small Nut for 5.3" Goose Neck Spout     | A55401           |           |
| Small Nut for 8" Goose Neck Spout       | A55403           |           |
| Double Swing Spout                       | A55411           |           |
| 2" Offset Hardware Pack                  | A55412           |           |
| 1/2" Offset Hardware Pack                | A55413           |           |
| Small Spout for 8" High Arc Tube        | A55446           |           |
| Replacement Hose Assembly for LK43       | A55447           |           |
| Male Spray Euro Assembly with Nest       | A55449           |           |
| Female Spray Euro Assembly with Nest     | A55450           |           |
| Female Spray Euro Assembly without Nest   | A55451           |           |
| Hose Guide Assembly in Escutcheon        | A55477           |           |
| Replacement Cartridge for LKA2475        | A55486           |           |
| Replacement Handle Assembly for LKA2475  | A55487           |           |
| Cartridge Art for LK7625CR               | A55503R          |           |
| Aerator for LK7125                       | A55504R          |           |
| Aerator for LK7125; 7225NK               | A55505R          |           |
| Lever Handles for LK7127CR               | A55506R          |           |
| Lever Handles for LK7127NK               | A55507R          |           |
| Lever Handles for LK7625CR               | A55508R          |           |
| Replacement Spray Head for LK6           | A55520R          |           |
| Replacement Lever Handle                 | A55521R          |           |
| Replacement Valve Cartridge               | A55522R          |           |
| Replacement Supply Flex Hose              | A55523R          |           |
| Replacement Mounting Hardware             | A55524R          |           |
| Replacement Spray Arm Flex Hose           | A55525R          |           |
| Replacement Locking Screw                 | A55526R          |           |
| Lever Handle Ferrara LK712 CR             | A55949R          |           |
| Lever Handle Ferrara LK712 NK             | A55950R          |           |
| Lever Handle Ferrara LK712 BC             | A55951R          |           |
| Lever Handle Arezzo LK722 CR              | A55952R          |           |
| Lever Handle Arezzo LK722 NK              | A55953R          |           |
| Lever Handle Arezzo LK722 BC              | A55954R          |           |
| Lever Handle Ferrara LK762 CR             | A55956R          |           |
| Lever Handle Ferrara LK762 NK             | A55957R          |           |
| Lever Handle Ferrara LK762 BC             | A55958R          |           |
| Lever Handle Arezzo LK722 SS              | A55959R          |           |
| Lever Handle LK7420; Chrome               | A55960R          |           |
| Lever Handle LK7420; Nickel               | A55961R          |           |
| Lever Handle LK7420; Brushed              | A55962R          |           |
| Lever Handle LK7522; Chrome               | A55963R          |           |
| Lever Handle LK7522; Nickel               | A55964R          |           |
| Lever Handle LK7522; Brushed              | A55965R          |           |
| Lever Handle LK7320; Chrome               | A55966R          |           |
| Lever Handle LK7320; Nickel               | A55967R          |           |
| Lever Handle LK7320; Brushed              | A55968R          |           |
| Set of Two Left and Right LK73           | A55969R          |           |
| Set of Two Left and Right LK73           | A55970R          |           |
| Set of Two Left and Right LK73           | A55971R          |           |
| Lever Handle LK2544; Chrome               | A55972R          |           |
| Lever Handle LK2544; Anti-Scale           | A55973R          |           |
| Lever Handle LK2544; Matt Finish          | A55974R          |           |
| Lever Handle LK2544; Aqua Classic         | A55975R          |           |
| Lever Handle LK2544; Rubber Base          | A55976R          |           |
| Set of Two Left; Right LK2444             | A55977R          |           |
| Set of Two Left; Right LK2444             | A55978R          |           |
| Set of Two Left; Right LK2444             | A55979R          |           |
| Set of Two Left; Right LK2444             | A55980R          |           |
| Set of Two Left; Right LK2444             | A55981R          |           |
| Spout LK7122CR                            | A55982R          |           |
| Spout LK7122NK                            | A55983R          |           |
| Spout LK7122BC                            | A55984R          |           |
| Spout LK7126CR                            | A55985R          |           |
| Spout LK7126NK                            | A55986R          |           |
| Spout LK7126BC                            | A55987R          |           |
| Spout LK7128CR                            | A55988R          |           |
| Spout LK7128NK                            | A55989R          |           |
| Spout LK7128BC                            | A55990R          |           |
| Spout LK7226CR                            | A55991R          |           |
| Spout LK7226NK                            | A55992R          |           |
| Spout LK7226BC                            | A55993R          |           |
| Spout LK7420CR                            | A55994R          |           |
| Spout LK7420NK                            | A55995R          |           |
| Spout LK7420BC                            | A55996R          |           |
| Spout LK7422CR                            | A55997R          |           |
| Spout LK7422NK                            | A55998R          |           |
| Spout LK7422BC                            | A55999R          |           |
| Spout LK7522/7524CR                       | A56000R          |           |
| Spout LK7522/7524NK                       | A56001R          |           |
| Spout LK7522/7524BC                       | A56002R          |           |
| Spout LK7322CR                            | A56003R          |           |
| Spout LK7322NK                            | A56004R          |           |
| Spout LK7322BC                            | A56005R          |           |
| Spout LK7320CR                            | A56006R          |           |
| Spout LK7320NK                            | A56007R          |           |
| Spout LK7320BC                            | A56008R          |           |
| Spout LK7324CR                            | A56009R          |           |
| Spout LK7324NK                            | A56010R          |           |
| Spout LK7324BC                            | A56011R          |           |
| Spout LK2444/2544/2546CR                  | A56012R          |           |
| Spout LK2444/2544/2546AB                  | A56013R          |           |
| Spout LK2444/2544/2546MC                  | A56014R          |           |
| Spout LK2444/2544/2546AC                  | A56015R          |           |
| Spout LK2444/2544/2546RB                  | A56016R          |           |
| Hardware Fixing Kit LK7122CR              | A56017R          |           |
| Hardware Fixing Kit LK7120CR              | A56019R          |           |
| Hardware Fixing Kit LK7126CR              | A56020R          |           |
| Hardware Fixing Kit LK7220                 | A56021R          |           |
| Hardware Fixing Kit LK7124                 | A56022R          |           |
| Hardware Fixing Kit LK7620                 | A56023R          |           |
| Hardware Fixing Kit LK7622                 | A56024R          |           |
| Hardware Fixing Kit LK7420                 | A56025R          |           |
| Hardware Fixing Kit LK7522                 | A56026R          |           |
| Hardware Fixing Kit LK7128                 | A56027R          |           |
| Hardware Fixing Kit LK7324                 | A56028R          |           |
| Hardware Fixing Kit LK2544                 | A56029R          |           |
| Adapter Check Valves                       | A56030R          |           |
| Aerator LK7122/7226/7422CR                | A56031R          |           |
| Aerator LK7122/7226/7422NK                | A56032R          |           |
| Aerator LK7122/7226/7422BC                | A56033R          |           |
| Aerator LK7120/7124/7224CR                 | A56034R          |           |
| Aerator LK7120/7124/7224NK                 | A56035R          |           |
| Aerator LK7120/7124/7224BC                 | A56036R          |           |
| Aerator LK7126/7128CR                      | A56037R          |           |
| Aerator LK7126/7128NK                      | A56038R          |           |
| Aerator LK7126/7128BC                      | A56039R          |           |
| Aerator LK7324/7522/7524CR                 | A56040R          |           |
| Aerator LK7324/7522/7524NK                 | A56041R          |           |
| Aerator LK7324/7522/7524BC                 | A56042R          |           |
| Aerator LK2444/2544/2546CR                 | A56043R          |           |
| Aerator LK2444/2544/2546AB                 | A56044R          |           |
| Aerator LK2444/2544/2546MC                 | A56045R          |           |
| Aerator LK2444/2544/2546AC                 | A56046R          |           |
| Aerator LK2444/2544/2546RB                 | A56047R          |           |
| Aerator LK7622CR                           | A56048R          |           |
| Aerator LK7622NK                           | A56049R          |           |
| Aerator LK7622BC                           | A56050R          |           |
| Aerator LK7322CR                           | A56051R          |           |
| Aerator LK7322NK                           | A56052R          |           |
| Aerator LK7322BC                           | A56053R          |           |
| Aerator 7224/7228SS                        | A56054R          |           |
| Built-in Flange                            | A56055R          |           |
| Cartridge R98103.1670                     | A56056R          |           |
| Metal Washer; Cover                        | A56057R          |           |
| Handle R97116.1670 Chrome                 | A56058R          |           |
| Flange for Built-in Spout                 | A56059R          |           |
| Aerator                                    | A56060R          |           |
| Built-in Flange                            | A56061R          |           |
| Metal Washer and Cover                     | A56062R          |           |
| Handle                                     | A56063R          |           |
| Flange for Built-in Spout                 | A56064R          |           |
| Aerator                                    | A56065R          |           |
| Insert                                      | A56066R          |           |
| Pullout Spray                              | A56067R          |           |
| Flexible Hose                              | A56068R          |           |
| Weight for Flexible Hose                   | A56069R          |           |
| Fixing Kit                                 | A56070R          |           |
| Flexible Hose                              | A56071R          |           |
| Pullout Spray                              | A56072R          |           |
| Wall Union                                 | A56073R          |           |
| Adaptor for ISY Handle                    | A56074R          |           |
| Headwork                                   | A56075R          |           |
| Cap                                        | A56076R          |           |
| Fixing Kit                                 | A56077R          |           |
| Flexible Thread                            | A56078R          |           |
| Flexible Hose                              | A56079R          |           |
| Screw for ISY Spout                       | A56080R          |           |
| Aerator                                    | A56081R          |           |
| Aerator                                    | A56082R          |           |
| Fixing Kit                                 | A56083R          |           |
| Flange                                     | A56084R          |           |
| Fixing Kit for Headwork Holder            | A56085R          |           |
| Pipe                                       | A56086R          |           |
| Washer                                     | A56087R          |           |
| Headwork Holder                            | A56088R          |           |
| Flange                                     | A56089R          |           |
| Pipe R99095.C3                            | A56090R          |           |
| Spout LK6165CR                            | A56091R          |           |
| Spout LK6165NK                            | A56092R          |           |
| Spout LK6175CR                            | A56093R          |           |
| Spout LK6175NK                            | A56094R          |           |
| Inlet Hose LK7122                         | A56095R          |           |
| Inlet Hose LK7124                         | A56096R          |           |
| Inlet Hose LK7120                         | A56097R          |           |
| Inlet Hose LK7126                         | A56098R          |           |
| Inlet Hose LK7128                         | A56099R          |           |
| Inlet Hose LK7226                         | A56100R          |           |
| Inlet Hose LK7320                         | A56101R          |           |
| Cartridge Art LK7220                      | A56102R          |           |
| Cartridge Art LK7420                      | A56103R          |           |
| Cartridge Art LK7120                      | A56104R          |           |
| Cartridge Art LK7320                      | A56105R          |           |
| Cartridge Art LK7522                      | A56106R          |           |
| Headworks Art LK7324                      | A56107R          |           |
| Spray Head LK7322CR                       | A56108R          |           |
| Spray Head LK7320                         | A56109R          |           |
| Spray Head LK7220CR                       | A56110R          |           |
| Spray Head LK7120CR                       | A56111R          |           |
| Spray Head LK7228SS                       | A56112R          |           |
| Spray Head LK7620CR                       | A56113R          |           |
| Spray Head LK7420CR                       | A56114R          |           |
| O-Ring for Spout LK7122                   | A56115R          |           |
| O-Ring for Spouts LK7126                  | A56116R          |           |
| Green Washers                             | A56117R          |           |
| Grey Flex A-Flex LK7120                   | A56118R          |           |
| Pullout Hoses for Sprayhead LK            | A56119R          |           |
| Flex A-Flex LK7420                        | A56120R          |           |
| Black Allure Faucet                       | A56121BK         |           |
| Chrome Allure Faucet                      | A56121CR         |           |
| Brushed Nickel Allure Faucet              | A56121NK         |           |
| Spray Head LK7322NK                       | A56121R          |           |
| White Allure Faucet                       | A56121WH         |           |
| Chrome Side Spray                         | A56122CR         |           |
| Brushed Nickel Side Spray                 | A56122NK         |           |
| Spray Head LK7324CR                       | A56122R          |           |
| Spray Head                                | A56123R          |           |
| Spray Head LK7220NK                       | A56124R          |           |
| Spray Head LK7220BC                       | A56125R          |           |
| Spray Head LK7120NK                       | A56126R          |           |
| Spray Head LK7120BC                       | A56127R          |           |
| Spray Head LK7620NK                       | A56128R          |           |
| Spray Head LK7620BC                       | A56129R          |           |
| Spray Head LK7420NK                       | A56130R          |           |
| Spray Head LK7420BC                       | A56131R          |           |
| Cap                                       | A56136           |           |
| Lever Handle Nickel                       | A56140R          |           |
| Handle Set of Two LK2444NK                | A56141R          |           |
| Aerator Nickel                            | A56142R          |           |
| Replacement Spout LK2546NK                | A56143R          |           |
| Aerator; Tech OEM Part ELMX0             | A56150R          |           |
| Replacement Spout; Nickel                 | A56151R          |           |
| Replacement Spout; Chrome                 | A56152R          |           |
| Replacement Flange; Nickel                | A56153R          |           |
| Replacement Flange; Chrome                | A56154R          |           |
| Handle; SS                                | A56215           |           |
| Housing; Aerator                          | A56216           |           |
| Spout Assembly                            | A56217           |           |
| Spout Nut                                 | A56218           |           |
| Escutcheon Sleeve                         | A56219           |           |
| Body; Faucet; SS                          | A56220           |           |
| Ceramic Disc Cartridge RH; SS             | A56221           |           |
| Ceramic Disc Cartridge LH; SS             | A56222           |           |
| Seat; Valve                               | A56223           |           |
| Flange                                    | A56227           |           |
| Escutcheon; Handle; SS                    | A56228           |           |
| Ceramic Disk Cartridge RH                  | A70001           |           |
| Ceramic Disk Cartridge LH                  | A70002           |           |
| Screw; Handle                             | A71008           |           |
| Screw; Handle                             | A71304           |           |
| Escutcheon; Handle                        | A71309           |           |
| Handle                                    | A72425           |           |
| Handle                                    | A72839           |           |
| Handle                                    | A73328           |           |
| Handle                                    | A73329           |           |
| Handle Pack                               | A74386           |           |
| Handle                                    | A74921           |           |
| Handle Kit                                | A75210           |           |

### Note
- Prices may vary and are not listed in this overview.
- For any specific inquiries or further details, including customer service, please refer to the provided customer service contacts.

