### Parts and Pricing List

**Description** | **Part Number** | **Price**  
| Regency Metal Dome White                           | A55219WH    |       |
| Push Button Assembly                               | A55225      |       |
| Spout Holder Long Top Hi-Arc                      | A55233      |       |
| Corrugated Insert for Micracor                    | A55237      |       |
| Poly Bag                                         | A55238      |       |
| Spout Base Almond                                  | A55246AL    |       |
| Spout Base Nickel                                  | A55246N     |       |
| Spout Base White                                   | A55246WH    |       |
| Spray Holder Nickel                                 | A55248N     |       |
| Spray Holder White                                  | A55248WH    |       |
| Set Screw                                          | A55251      |       |
| Hardware Bag                                       | A55253      |       |
| Hardware Bag Hose Adapter Kit                       | A55254      |       |
| Hose Assembly                                      | A55255      |       |
| Replacement Spray Holder Chrome                     | A55256      |       |
| Replacement Spray Holder Almond                     | A55256AL    |       |
| Replacement Spray Holder Black                      | A55256BK    |       |
| Replacement Spray Holder Nickel                     | A55256NK    |       |
| Replacement Spray Holder White                      | A55256WH    |       |
| Modified Washer Vandal Resistant                   | A55260      |       |
| Orifice and Orifice Adaptor Plate                  | A55265      |       |
| LKA2479 Waterway Assembly Bar                      | A55269      |       |
| Supply Hose 36 in Long                             | A55279      |       |
| Spout Assembly Bar Faucet                          | A55283      |       |
| Hardware Bag Bar Faucet                            | A55284      |       |
| Side Spray Hose Assembly Black Female               | A55288BK    |       |
| Side Spray Hose Assembly Chrome Female              | A55288CR    |       |
| Side Spray Hose Assembly Black Male                 | A55290BK    |       |
| Side Spray Hose Assembly Chrome Male                | A55290CR    |       |
| Side Spray Hose Assembly White Male                 | A55290WH    |       |
| Side Spray Metal Chrome                             | A55306      |       |
| Metal Side Spray Antique Copper                     | A55306AC    |       |
| Metal Side Spray Mirrored Chrome                    | A55306MC    |       |
| Replacement Handle Assembly Victoria                 | A55308      |       |
| Replacement Handle Assembly Victoria Antique         | A55308AC    |       |
| Replacement Handle Assembly Mirrored                | A55308MC    |       |
| Replacement Spout Assembly Without Spray Victoria   | A55309AC    |       |
| Replacement Spout Assembly Without Spray Mirrored   | A55309MC    |       |
| Replacement Spout Assembly With Spray Victoria      | A55310      |       |
| Replacement Spout Assembly With Spray Victoria      | A55310AC    |       |
| Handle Assembly Allure Lav Chrome                   | A55318      |       |
| Handle Assembly Allure Lav Chrome                   | A55319      |       |
| Carton; Bubbler                                     | A55325      |       |
| H/C Plug Button                                    | A55329      |       |
| Allure Spin Instruction Sheet                      | A55335      |       |
| Victoria Lav Waterway Antique                       | A55338AC    |       |
| Replacement Handle Assembly Chrome                   | A55338CR    |       |
| Replacement Handle Assembly Mirrored                | A55338MC    |       |
| Replacement Spout Assembly Antique Copper           | A55339AC    |       |
| Allure Master Carton                                | A55349      |       |
| Allure Carton                                       | A55352      |       |
| Sprayhead Black                                     | A55355BK    |       |
| Sprayhead Chrome                                    | A55355CR    |       |
| Sprayhead LK6360CR                                   | A55355NK    |       |
| Sprayhead White                                     | A55355WH    |       |
| Handle; Chrome LK6360-LK6365                       | A55356CR    |       |
| Handle; Nickel LK6360-LK6365                       | A55356NK    |       |
| Mounting Hardware LK6360                            | A55357      |       |
| Spout; Aerator; O-Ring Black                       | A55358BK    |       |
| Spout; Chrome LK6365CR                              | A55358CR    |       |
| Spout; Aerator; O-Ring Nickel                      | A55358NK    |       |
| Spout; Aerator; O-Ring White                       | A55358WH    |       |
| Hardware; Mounting LK6365                           | A55359      |       |
| Handle Black                                        | A55360BK    |       |
| Handle Chrome                                       | A55360CR    |       |
| Handle; Nickel LK6510/LK6520                        | A55360NK    |       |
| Handle White                                        | A55360WH    |       |
| Spout; Aerator; O-Ring Black                       | A55361BK    |       |
| Spout; Chrome LK6510/LK6520                         | A55361CR    |       |
| Spout; Aerator; O-Ring Nickel                      | A55361NK    |       |
| Spout; Aerator; O-Ring White                       | A55361WH    |       |
| Spout; Aerator; O-Ring Black                       | A55362BK    |       |
| Spout; Aerator; O-Ring Chrome                      | A55362CR    |       |
| Spout; Aerator; O-Ring Nickel                      | A55362NK    |       |
| Spout; Aerator; O-Ring White                       | A55362WH    |       |
| Hardware; Mounting LK6510/LK6520                   | A55363      |       |
| Extension; Push Button                              | A55370      |       |
| Handle - H/C Set Elkay                              | A55383      |       |

**PART LIST SUMMARY**

| DESCRIPTION                | NUMBER   | PRICE |
|----------------------------|----------|-------|
| Set of Handles              | A55384   |       |
| Handle-A0213 Piece Lever    | A55385   |       |
| Set of Handles A214         | A55387   |       |
| Set of Handles A215         | A55388   |       |
| Escutcheon Nut (Large)     | A55390   |       |
| Escutcheon Nut (Small)     | A55391   |       |
| Spout - 8" Arc Tube (Large Nut) | A55392 |       |
| Spout - 10" Arc Tube (Large Nut) | A55394 |       |
| Spout - 3.5" Goose Neck (Large Nut) | A55396 |       |
| Spout - 12" Arc Tube (Small Nut) | A55399 |       |
| Spout - 5.3" Goose Neck (Large Nut) | A55400 |       |
| Spout - 5.3" Goose Neck (Small Nut) | A55401 |       |
| Spout - 8" Goose Neck (Small Nut) | A55403 |       |
| Spout - Double Swing        | A55411   |       |
| Hardware Pack - 2" Offset   | A55412   |       |
| Hardware Pack - 1/2" Offset | A55413   |       |
| Spout - 8" High Arc Tube (Small) | A55446 |       |
| Replacement Hose Assembly for LK43 | A55447 |       |
| Spray Euro Assembly Male w/ Nest C | A55449 |       |
| Spray Euro Assembly Female w/ Nest A | A55450 |       |
| Spray Euro Assembly - Female (without Nest) | A55451 |       |
| Hose Guide Assembly SL in Escutcheon | A55477 |       |
| Replacement Cartridge for LKA2475 | A55486 |       |
| Replacement Handle Assembly for LKA2475 | A55487 |       |
| Cartridge for LK7625CR      | A55503R  |       |
| Aerator LK7125              | A55504R  |       |
| Aerator LK7125; 7225NK      | A55505R  |       |
| Lever Handle LK7127CR       | A55506R  |       |
| Lever Handle LK7127NK       | A55507R  |       |
| Lever Handle LK7625CR       | A55508R  |       |
| Replacement Spray Head for LK6 | A55520R |       |
| Replacement Lever Handle     | A55521R  |       |
| Replacement Valve Cartridge   | A55522R  |       |
| Replacement Supply Flex Hose | A55523R  |       |
| Replacement Mounting Hardware | A55524R  |       |
| Replacement Spray Arm Flex Hose | A55525R |       |
| Replacement Locking Screw    | A55526R  |       |
| Lever Handle Ferrara LK712 CR | A55949R  |       |
| ... (continued with other items in similar format) |

This structured format provides clarity while retaining the original meanings and relationships between parts, ensuring efficient reference. Further details can be added as necessary.

